"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Wangen-Brüttisellen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4512;2327;51.6;2317;616;1701;26.6
">> Bezirk Winterthur";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";105873;58797;55.5;58173;21393;36780;36.8
"......Altikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";476;284;59.7;283;97;186;34.3
"......Brütten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1542;1011;65.6;1008;205;803;20.3
"......Dägerlen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";708;433;61.2;432;168;264;38.9
"......Dättlikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";543;372;68.5;368;116;252;31.5
"......Dinhard";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1088;687;63.1;678;204;474;30.1
"......Ellikon an der Thur";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";639;359;56.2;355;93;262;26.2
"......Elsau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2364;1420;60.1;1407;438;969;31.1
"......Hagenbuch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";822;443;53.9;440;124;316;28.2
"......Hettlingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2136;1389;65.0;1378;355;1023;25.8
"......Neftenbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3829;2166;56.6;2152;601;1551;27.9
"......Pfungen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2095;1226;58.5;1215;435;780;35.8
"......Rickenbach (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1794;1093;60.9;1081;317;764;29.3
"......Schlatt (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";513;333;64.9;330;124;206;37.6
"......Seuzach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5214;3096;59.4;3069;823;2246;26.8
"......Turbenthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2874;1458;50.7;1440;528;912;36.7
"......Winterthur";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";68029;36560;53.7;36121;14806;21315;41.0
"......Zell (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3632;1859;51.2;1840;664;1176;36.1
"......Elgg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3131;1826;58.3;1808;566;1242;31.3
"......Wiesendangen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4444;2782;62.6;2768;729;2039;26.3
">> Bezirk Dietikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";47423;24302;51.2;24121;6910;17211;28.6
"......Aesch (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";811;527;65.0;524;109;415;20.8
"......Birmensdorf (ZH)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3898;2270;58.2;2246;587;1659;26.1
"......Dietikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";12291;5545;45.1;5510;1814;3696;32.9
"......Geroldswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3048;1540;50.5;1535;386;1149;25.1
"......Oberengstringen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3909;2044;52.3;2035;641;1394;31.5
"......Oetwil an der Limmat";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1668;999;59.9;998;226;772;22.6
